Country,Site,Cluster,Plot,Latitude,Longitude,Depth,pH,Percent_N,Percent_C,Percent_Inorg_C,Percent_Org_C,Am.Ox.Al,Am.Ox.Fe,AmOx.Mn,AmOx.P,Olsen.P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,As.75,Se.78,Mo.95,Cd.114
Tanzania,Chinyanghuku,1,4,-6.92975998,36.09859085,Topsoil,7.31,0.07,0.66,0,0.66,1432.736227,1737.144984,259.6945366,55.30301795,6.1,39.89780074,5.58,0.393247185,1.735754415,0.080634622,2.790599606,29534.196,4215.619488,16.07439197,50.77759182,17.3685872,36096.1133,4468.371402,4246.640441,457.369683,144.6674355,24.10590367,198.8628582,5.011335901,73.71458309,33.41106803,0.262535152,0.420000257,0.022966552,0.030148472
Tanzania,Chinyanghuku,1,8,-6.92728519,36.09469604,Topsoil,7,0.13,1.31,0,1.31,1289.645339,2132.627109,330.130829,154.0360232,14.88,41.27,6.84,0.544391483,2.039024146,0.065589864,3.507147779,27565.44147,5590.238207,19.04722759,37.55763477,18.14255591,30978.76781,5969.220861,6105.195075,525.1102314,187.1415534,25.43334414,344.4548745,5.977996711,127.7419813,44.95955454,0.277514719,0.498017387,0.046022392,0.056487922
Tanzania,Chinyanghuku,2,3,-6.91137981,36.08887863,Topsoil,7.11,0.05,0.65,0,0.65,562.0563813,2149.008019,101.9002595,35.7555946,4.52,11.37,3.28,0.221160828,1.342404665,0.048834594,0.096663221,15734.56143,1838.544659,9.139546567,11.72933745,6.110352352,22669.02485,5032.184772,4597.364414,236.0525688,222.0353729,7.599911735,183.200168,3.475053266,62.91450578,44.06966189,0.164285477,0.316384859,0.025208504,0.016830826
Tanzania,Chinyanghuku,2,4,-6.91000986,36.09090042,Topsoil,8.09,0.04,0.69,0.2,0.48,1043.324489,665.0036361,174.1101441,5.128538248,4.38,31.72,12.35,0.408641906,2.683929067,0.19793387,12.60504109,24305.44396,9424.773787,8.436478197,22.53007593,8.48755035,17543.31098,2355.477195,3754.105767,281.0567256,189.1636357,13.79550946,86.87543967,4.396235733,72.89148263,28.3858624,0.201461178,0.280514847,0.0149384,0.017969459
Tanzania,Chinyanghuku,2,7,-6.90896797,36.08447647,Topsoil,6.91,0.08,0.93,0,0.93,1013.07213,1172.724868,107.2893258,-7.224922511,2.34,26.44,5.42,0.230375853,3.144671308,0.103262752,5.353163492,24064.31842,2251.883002,7.921625145,22.53377793,6.89550778,18295.70041,2392.934287,2978.348823,208.7765726,186.3693186,11.146063,100.5940486,4.574452584,77.19880624,26.65318619,0.167495788,0.278552454,0.028796857,0.013541137
Tanzania,Chinyanghuku,3,4,-6.887218,36.09030914,Topsoil,8.29,0.1,1.04,0.1,0.98,1215.31642,2900.512129,158.6430709,460.1846526,147.26,143.91,9.59,2.254497378,1.648220691,0.064167325,7.257010531,24915.0009,5135.573024,10.83657563,30.89383965,13.23022572,33792.99554,3798.499662,3287.986053,288.9175831,134.9355654,14.34051242,668.2786122,3.995090528,136.1222724,30.20746845,0.254675089,0.409216227,0.155317099,0.026406558
Tanzania,Chinyanghuku,3,5,-6.87997,36.0957,Topsoil,8.34,0.1,1.29,0.3,0.99,1148.103095,1498.575596,182.8727562,450.9131307,29.14,54.06,10.02,0.837308236,1.285368204,0.070969048,7.405204269,25467.40998,16208.38523,14.01189418,28.01092752,15.79549084,31448.98175,7410.583093,8117.055536,458.4883158,253.7173737,11.33820411,786.2722092,4.246149512,146.2387375,49.94503013,0.288673514,0.443472964,0.158428244,0.039525458
Tanzania,Chinyanghuku,3,6,-6.88609,36.0976,Topsoil,7.74,0.11,1.23,0,1.22,1224.840368,1805.669395,328.0174421,79.83297145,12.84,40.76,9.05,0.759294403,2.530347226,0.063840645,10.5333342,34689.94937,5568.968483,15.35180115,40.23019417,18.76647587,31304.41721,7652.478975,7321.443911,596.3297318,152.3387657,18.10478616,240.3091223,7.268850919,105.290347,48.21857353,0.3298818,0.456885995,0.046989112,0.039882698
Tanzania,Chinyanghuku,3,7,-6.88887692,36.09513855,Topsoil,7.35,0.08,0.75,0,0.75,1911.783494,3839.063359,567.5204373,55.08047225,5.04,64.65,13.83,0.482651777,7.082800858,1.330304489,22.30735637,64085.39693,4609.22239,22.62037912,73.51632578,30.02380118,53516.34713,10261.76632,10606.47158,900.5291243,551.3584448,34.54053136,227.2781525,12.70781617,97.18430454,68.34337857,0.531313631,0.644578353,0.065358354,0.058456604
Tanzania,Chinyanghuku,3,9,-6.88493204,36.08917236,Topsoil,7.97,0.05,0.53,0,0.52,1467.16887,1602.159645,298.3154749,12.67351886,3.82,33.15,9.1,0.261442199,2.025861863,0.067357803,9.687874061,29026.50144,6244.828027,17.50284482,50.72469076,15.81863609,27597.78479,2486.128338,3298.087757,473.986579,163.7874716,23.17315751,150.2851342,3.276531009,58.91616909,27.08922785,0.185725485,0.358222263,0.032667693,0.025549546
