Lat,Lon,C,Red,Green,Blue,NIR,NDVI,EVI,SAVI,RVI,Precipitation,Minimum Temp.,Maximum Temp.,DEM,Aspect,Slope,TWI,Category
-31.57777778,29.51388889,4.7,8199.206,7920.076,7345.688,12920.74,0.218,1.75,0.327,1.585,57.3,12.0,22.0,164.726,1.47,20.045,4.112,> 4.0
-31.43916667,29.06666667,1.0,10013.816,8939.121,7915.104,13469.814,0.147,0.62,0.22,1.352,23.4,7.0,20.0,1011.338,-0.609,4.446,5.615,0.5-1.0
-31.42777778,29.03666667,1.5,10227.161,9137.132,8013.118,13618.89,0.143,0.584,0.214,1.341,22.3,7.0,20.0,999.27,-1.428,6.494,8.442,1.0-2.0
-30.96777778,29.34888889,3.5,9900.501,8811.632,7765.675,14043.089,0.172,0.695,0.258,1.428,55.6,10.0,22.0,1043.853,-2.35,13.547,6.559,3.0-4.0
-31.16277778,29.46416667,2.5,9342.109,8521.747,7533.597,13642.134,0.186,0.828,0.28,1.469,28.6,7.0,20.0,941.125,-0.22,13.229,7.089,2.0-3.0
-30.67888889,29.03166667,1.4,10847.98,9330.383,7917.416,14680.988,0.15,0.505,0.225,1.364,48.3,10.0,23.0,1174.45,-2.462,6.896,7.42,1.0-2.0
-31.41416667,29.40166667,3.9,9167.78,8521.782,7633.001,14306.304,0.216,1.069,0.324,1.569,35.9,9.0,21.0,652.228,2.722,22.221,7.922,3.0-4.0
-31.16638889,29.19555556,0.4,9635.547,8650.736,7537.465,15143.404,0.221,0.867,0.332,1.585,54.4,11.0,23.0,1108.351,-1.391,17.222,4.132,<= 0.5
-31.47888889,29.03277778,1.7,10345.826,9138.496,8086.411,13818.959,0.143,0.575,0.215,1.34,23.5,7.0,21.0,853.619,-2.528,10.05,7.07,1.0-2.0
-30.92083333,29.45388889,3.6,9860.273,8651.516,7568.956,13508.308,0.156,0.611,0.234,1.379,57.5,12.0,23.0,1109.114,-1.657,13.707,6.222,3.0-4.0
-31.69194,29.02944,14.0,9732.451,8924.42,7824.487,14609.326,0.197,0.837,0.295,1.508,150.0,15.0,25.0,678.831,-2.534,4.19,5.964,> 4.0
-30.88805556,29.3025,1.3,9942.278,8825.471,7715.086,13217.611,0.141,0.564,0.212,1.335,52.5,11.0,24.0,972.325,-2.637,7.239,6.534,1.0-2.0
-30.79888889,29.1025,0.6,10425.393,8760.12,7597.127,13378.66,0.124,0.41,0.186,1.288,48.9,11.0,24.0,890.729,2.533,0.278,8.045,0.5-1.0
-30.19833333,29.87861111,4.1,9628.368,8649.522,7650.771,12809.037,0.141,0.612,0.212,1.336,48.3,12.0,24.0,930.418,2.962,22.973,6.433,> 4.0
-31.64305556,29.29833333,3.9,8502.85,8178.485,7443.088,14512.045,0.259,1.578,0.389,1.728,49.2,11.0,23.0,279.36,-1.702,25.271,7.575,3.0-4.0
-31.29361111,29.2925,3.5,9679.286,8688.521,7598.416,15281.975,0.222,0.877,0.333,1.591,30.7,9.0,21.0,910.207,0.408,6.937,7.062,3.0-4.0
-31.13333333,29.32972222,2.1,10383.44,9261.53,7999.122,15591.344,0.2,0.748,0.299,1.509,59.4,12.0,23.0,740.875,-1.938,29.113,6.502,2.0-3.0
-30.41694444,29.81888889,1.7,9850.869,8855.756,7773.74,14504.073,0.191,0.814,0.287,1.495,50.3,12.0,24.0,685.841,3.03,3.638,7.148,1.0-2.0
-31.54861111,29.36305556,5.0,9065.073,8575.601,7573.347,15232.453,0.249,1.225,0.374,1.695,45.5,11.0,22.0,519.837,-1.111,47.125,13.257,> 4.0
-31.27472222,29.04472222,2.7,9522.318,8454.284,7529.828,12743.868,0.144,0.603,0.217,1.343,20.7,7.0,21.0,993.332,0.716,7.234,6.558,2.0-3.0
-30.88805556,29.32138889,1.1,10498.898,9093.738,7947.27,13214.316,0.115,0.428,0.173,1.264,52.5,11.0,24.0,933.873,1.302,3.199,9.689,1.0-2.0
-30.72777778,29.27222222,2.2,9405.547,8419.264,7412.394,14452.911,0.211,0.894,0.316,1.553,52.5,9.0,22.0,1376.554,-1.547,25.434,8.4,2.0-3.0
