,Unnamed: 0,Source,Date,UniqueID,Lat,Lon,C,BD,C_range,Year,Month,geometry,BD_iSDA
0,0,ARC,1989-09-01,ARC_147,-23.46111111,31.46944444,1.86,1.29,1-2,1989,9,POINT (31.46944444 -23.46111111),
1,1,ARC,1989-02-01,ARC_1300,-31.95777778,26.78972222,0.68,1.45,0.5-1,1989,2,POINT (26.78972222 -31.95777778),
2,2,ARC,1989-02-01,ARC_1301,-31.83055556,26.91111111,2.33,1.28,2-3,1989,2,POINT (26.91111111 -31.83055556),
3,3,ARC,1989-02-01,ARC_1302,-31.92722222,26.11666667,0.38,1.53,<0.5,1989,2,POINT (26.11666667 -31.92722222),
4,4,ARC,1989-02-01,ARC_1303,-31.95916667,26.28111111,0.38,1.46,<0.5,1989,2,POINT (26.28111111 -31.95916667),
5,5,ARC,1989-02-01,ARC_1304,-31.59527778,26.04722222,0.2,1.51,<0.5,1989,2,POINT (26.04722222 -31.59527778),
6,6,ARC,1989-02-01,ARC_1305,-31.75277778,26.1375,0.4,1.53,<0.5,1989,2,POINT (26.1375 -31.75277778),
7,7,ARC,1989-02-01,ARC_1306,-31.66055556,26.19722222,0.31,1.56,<0.5,1989,2,POINT (26.19722222 -31.66055556),
8,8,ARC,1989-02-01,ARC_1307,-31.70305556,26.26833333,0.67,1.53,0.5-1,1989,2,POINT (26.26833333 -31.70305556),
9,9,ARC,1989-03-01,ARC_1319,-31.525,26.27055556,1.45,1.42,1-2,1989,3,POINT (26.27055556 -31.525),
10,10,ARC,1989-03-01,ARC_1320,-31.29861111,26.19111111,0.6,1.54,0.5-1,1989,3,POINT (26.19111111 -31.29861111),
11,11,ARC,1989-03-01,ARC_1321,-31.38555556,26.35,0.55,1.58,0.5-1,1989,3,POINT (26.35 -31.38555556),
12,12,ARC,1989-03-01,ARC_1322,-31.42027778,26.39444444,1.09,1.39,1-2,1989,3,POINT (26.39444444 -31.42027778),
13,13,ARC,1989-03-01,ARC_1323,-31.36444444,26.20222222,1.16,1.37,1-2,1989,3,POINT (26.20222222 -31.36444444),
14,14,ARC,1989-03-01,ARC_1324,-31.23333333,26.44361111,0.6,1.48,0.5-1,1989,3,POINT (26.44361111 -31.23333333),
15,15,ARC,1989-03-01,ARC_1325,-31.26305556,26.66916667,0.72,1.45,0.5-1,1989,3,POINT (26.66916667 -31.26305556),
16,16,ARC,1989-03-01,ARC_1326,-31.38555556,26.65222222,0.63,1.47,0.5-1,1989,3,POINT (26.65222222 -31.38555556),
17,17,ARC,1989-03-01,ARC_1327,-31.72916667,26.73888889,0.91,1.42,0.5-1,1989,3,POINT (26.73888889 -31.72916667),
18,18,ARC,1989-01-01,ARC_1328,-31.82583333,26.5775,1.2,1.27,1-2,1989,1,POINT (26.5775 -31.82583333),
19,19,ARC,1989-03-01,ARC_1329,-31.79805556,26.46527778,0.72,1.53,0.5-1,1989,3,POINT (26.46527778 -31.79805556),
20,20,ARC,1989-03-01,ARC_1330,-31.96805556,26.34611111,0.53,1.48,0.5-1,1989,3,POINT (26.34611111 -31.96805556),
21,21,ARC,1989-03-01,ARC_1331,-31.66277778,26.53611111,0.52,1.33,0.5-1,1989,3,POINT (26.53611111 -31.66277778),
22,22,ARC,1989-03-01,ARC_1332,-31.5375,26.81666667,0.83,1.4,0.5-1,1989,3,POINT (26.81666667 -31.5375),
23,23,ARC,1989-03-01,ARC_1333,-31.55972222,26.68861111,1.13,1.33,1-2,1989,3,POINT (26.68861111 -31.55972222),
24,24,ARC,1989-05-01,ARC_1334,-31.06666667,26.90833333,0.43,1.55,<0.5,1989,5,POINT (26.90833333 -31.06666667),
25,25,ARC,1989-05-01,ARC_1335,-31.04888889,26.70277778,1.46,1.26,1-2,1989,5,POINT (26.70277778 -31.04888889),
26,26,ARC,1989-05-01,ARC_1336,-31.135,26.8125,1.07,1.5,1-2,1989,5,POINT (26.8125 -31.135),
27,27,ARC,1989-05-01,ARC_1337,-31.24722222,26.88333333,1.05,1.49,1-2,1989,5,POINT (26.88333333 -31.24722222),
28,28,ARC,1989-05-01,ARC_1338,-31.36638889,26.75555556,0.82,1.5,0.5-1,1989,5,POINT (26.75555556 -31.36638889),
29,29,ARC,1989-05-01,ARC_1339,-31.34833333,26.83972222,1.06,1.38,1-2,1989,5,POINT (26.83972222 -31.34833333),
30,30,ARC,1989-05-01,ARC_1340,-31.45805556,26.94027778,0.53,1.44,0.5-1,1989,5,POINT (26.94027778 -31.45805556),
31,31,ARC,1989-05-01,ARC_1341,-31.37027778,27.11944444,1.4,1.48,1-2,1989,5,POINT (27.11944444 -31.37027778),
32,32,ARC,1989-05-01,ARC_1342,-31.16611111,27.04027778,0.82,1.47,0.5-1,1989,5,POINT (27.04027778 -31.16611111),
33,33,ARC,1989-05-01,ARC_1343,-31.31666667,27.05611111,0.5,1.37,<0.5,1989,5,POINT (27.05611111 -31.31666667),
34,34,ARC,1989-05-01,ARC_1344,-31.07722222,27.09388889,1.79,1.38,1-2,1989,5,POINT (27.09388889 -31.07722222),
35,35,ARC,1989-05-01,ARC_1345,-31.09444444,27.30222222,1.45,1.39,1-2,1989,5,POINT (27.30222222 -31.09444444),
36,36,ARC,1989-05-01,ARC_1346,-31.21027778,27.38222222,2.38,1.41,2-3,1989,5,POINT (27.38222222 -31.21027778),
37,37,ARC,1989-05-01,ARC_1347,-31.27305556,27.24944444,1.0,1.38,0.5-1,1989,5,POINT (27.24944444 -31.27305556),
38,38,ARC,1989-05-01,ARC_1348,-31.33138889,27.19916667,0.64,1.52,0.5-1,1989,5,POINT (27.19916667 -31.33138889),
39,39,ARC,1989-05-01,ARC_1349,-31.32722222,27.3625,0.82,1.45,0.5-1,1989,5,POINT (27.3625 -31.32722222),
40,40,ARC,1989-05-01,ARC_1350,-31.47611111,27.32277778,0.75,1.46,0.5-1,1989,5,POINT (27.32277778 -31.47611111),
41,41,ARC,1989-05-01,ARC_1351,-31.39861111,27.23888889,1.45,1.3,1-2,1989,5,POINT (27.23888889 -31.39861111),
42,42,ARC,1989-05-01,ARC_1352,-31.44,27.41,1.27,1.43,1-2,1989,5,POINT (27.41 -31.44),
43,43,ARC,1989-05-01,ARC_1353,-31.39305556,27.47361111,0.91,1.47,0.5-1,1989,5,POINT (27.47361111 -31.39305556),
