Source,Date,UniqueID,Lat,Lon,C,BD,Year,Month,BD_iSDA,BulkDensity,SOC,geometry,Hex_ID,Hex_Center_Lat,Hex_Center_Lon,Hex_Center_BD
ARC,1989-09-01,ARC_147,-23.46111111,31.46944444,1.86,1.29,1989,9,,1.29,47.988,POINT (31.46944444 -23.46111111),hex_65_75,-23.381498468591484,31.458,1.3600000143051147
ARC,1989-02-01,ARC_1300,-31.95777778,26.78972222,0.68,1.45,1989,2,,1.45,19.72,POINT (26.78972222 -31.95777778),hex_16_52,-31.955149966057427,26.858,1.3799999952316284
ARC,1989-02-01,ARC_1301,-31.83055556,26.91111111,2.33,1.28,1989,2,,1.28,59.648,POINT (26.91111111 -31.83055556),hex_17_52,-31.781944885300547,26.858,1.3600000143051147
ARC,1989-02-01,ARC_1302,-31.92722222,26.11666667,0.38,1.53,1989,2,,1.53,11.628,POINT (26.11666667 -31.92722222),hex_16_48,-31.955149966057427,26.058000000000003,1.4199999570846558
ARC,1989-02-01,ARC_1303,-31.95916667,26.28111111,0.38,1.46,1989,2,,1.46,11.096,POINT (26.28111111 -31.95916667),hex_15_49,-32.041752506435884,26.258000000000003,1.409999966621399
ARC,1989-02-01,ARC_1303,-31.95916667,26.28111111,0.38,1.46,1989,2,,1.46,11.096,POINT (26.28111111 -31.95916667),hex_16_49,-31.868547425678987,26.258000000000003,1.3700000047683716
ARC,1989-02-01,ARC_1304,-31.59527778,26.04722222,0.2,1.51,1989,2,,1.51,6.040000000000001,POINT (26.04722222 -31.59527778),hex_18_48,-31.608739804543657,26.058000000000003,1.350000023841858
ARC,1989-02-01,ARC_1305,-31.75277778,26.1375,0.4,1.53,1989,2,,1.53,12.240000000000002,POINT (26.1375 -31.75277778),hex_17_48,-31.781944885300547,26.058000000000003,1.350000023841858
ARC,1989-02-01,ARC_1306,-31.66055556,26.19722222,0.31,1.56,1989,2,,1.56,9.672,POINT (26.19722222 -31.66055556),hex_17_49,-31.695342344922103,26.258000000000003,1.3600000143051147
ARC,1989-02-01,ARC_1307,-31.70305556,26.26833333,0.67,1.53,1989,2,,1.53,20.502000000000002,POINT (26.26833333 -31.70305556),hex_17_49,-31.695342344922103,26.258000000000003,1.3600000143051147
ARC,1989-03-01,ARC_1319,-31.525,26.27055556,1.45,1.42,1989,3,,1.42,41.17999999999999,POINT (26.27055556 -31.525),hex_18_49,-31.52213726416521,26.258000000000003,1.3600000143051147
ARC,1989-03-01,ARC_1320,-31.29861111,26.19111111,0.6,1.54,1989,3,,1.54,18.479999999999997,POINT (26.19111111 -31.29861111),hex_19_49,-31.34893218340833,26.258000000000003,1.399999976158142
ARC,1989-03-01,ARC_1321,-31.38555556,26.35,0.55,1.58,1989,3,,1.58,17.380000000000003,POINT (26.35 -31.38555556),hex_19_49,-31.34893218340833,26.258000000000003,1.399999976158142
ARC,1989-03-01,ARC_1322,-31.42027778,26.39444444,1.09,1.39,1989,3,,1.39,30.302000000000003,POINT (26.39444444 -31.42027778),hex_19_50,-31.43553472378677,26.458,1.399999976158142
ARC,1989-03-01,ARC_1323,-31.36444444,26.20222222,1.16,1.37,1989,3,,1.37,31.784,POINT (26.20222222 -31.36444444),hex_19_49,-31.34893218340833,26.258000000000003,1.399999976158142
ARC,1989-03-01,ARC_1324,-31.23333333,26.44361111,0.6,1.48,1989,3,,1.48,17.76,POINT (26.44361111 -31.23333333),hex_20_50,-31.262329643029883,26.458,1.3700000047683716
ARC,1989-03-01,ARC_1325,-31.26305556,26.66916667,0.72,1.45,1989,3,,1.45,20.880000000000003,POINT (26.66916667 -31.26305556),hex_19_51,-31.34893218340833,26.658000000000005,1.3799999952316284
ARC,1989-03-01,ARC_1325,-31.26305556,26.66916667,0.72,1.45,1989,3,,1.45,20.880000000000003,POINT (26.66916667 -31.26305556),hex_20_51,-31.175727102651447,26.658000000000005,1.3799999952316284
ARC,1989-03-01,ARC_1326,-31.38555556,26.65222222,0.63,1.47,1989,3,,1.47,18.522000000000002,POINT (26.65222222 -31.38555556),hex_19_51,-31.34893218340833,26.658000000000005,1.3799999952316284
ARC,1989-03-01,ARC_1327,-31.72916667,26.73888889,0.91,1.42,1989,3,,1.42,25.844,POINT (26.73888889 -31.72916667),hex_17_51,-31.695342344922103,26.658000000000005,1.2799999713897705
ARC,1989-01-01,ARC_1328,-31.82583333,26.5775,1.2,1.27,1989,1,,1.27,30.48,POINT (26.5775 -31.82583333),hex_16_51,-31.868547425678987,26.658000000000005,1.340000033378601
ARC,1989-03-01,ARC_1329,-31.79805556,26.46527778,0.72,1.53,1989,3,,1.53,22.031999999999996,POINT (26.46527778 -31.79805556),hex_17_50,-31.781944885300547,26.458,1.4199999570846558
ARC,1989-03-01,ARC_1330,-31.96805556,26.34611111,0.53,1.48,1989,3,,1.48,15.687999999999999,POINT (26.34611111 -31.96805556),hex_15_49,-32.041752506435884,26.258000000000003,1.409999966621399
ARC,1989-03-01,ARC_1330,-31.96805556,26.34611111,0.53,1.48,1989,3,,1.48,15.687999999999999,POINT (26.34611111 -31.96805556),hex_16_49,-31.868547425678987,26.258000000000003,1.3700000047683716
ARC,1989-03-01,ARC_1331,-31.66277778,26.53611111,0.52,1.33,1989,3,,1.33,13.832000000000003,POINT (26.53611111 -31.66277778),hex_18_50,-31.608739804543657,26.458,1.4199999570846558
ARC,1989-03-01,ARC_1332,-31.5375,26.81666667,0.83,1.4,1989,3,,1.4,23.24,POINT (26.81666667 -31.5375),hex_18_52,-31.608739804543657,26.858,1.2799999713897705
ARC,1989-03-01,ARC_1332,-31.5375,26.81666667,0.83,1.4,1989,3,,1.4,23.24,POINT (26.81666667 -31.5375),hex_19_52,-31.43553472378677,26.858,1.2899999618530271
ARC,1989-03-01,ARC_1333,-31.55972222,26.68861111,1.13,1.33,1989,3,,1.33,30.058,POINT (26.68861111 -31.55972222),hex_18_51,-31.52213726416521,26.658000000000005,1.3899999856948853
ARC,1989-05-01,ARC_1334,-31.06666667,26.90833333,0.43,1.55,1989,5,,1.55,13.33,POINT (26.90833333 -31.06666667),hex_21_52,-31.08912456227299,26.858,1.3799999952316284
ARC,1989-05-01,ARC_1335,-31.04888889,26.70277778,1.46,1.26,1989,5,,1.26,36.792,POINT (26.70277778 -31.04888889),hex_21_51,-31.002522021894546,26.658000000000005,1.2999999523162842
ARC,1989-05-01,ARC_1336,-31.135,26.8125,1.07,1.5,1989,5,,1.5,32.1,POINT (26.8125 -31.135),hex_21_52,-31.08912456227299,26.858,1.3799999952316284
ARC,1989-05-01,ARC_1337,-31.24722222,26.88333333,1.05,1.49,1989,5,,1.49,31.29,POINT (26.88333333 -31.24722222),hex_20_52,-31.262329643029883,26.858,1.2899999618530271
ARC,1989-05-01,ARC_1338,-31.36638889,26.75555556,0.82,1.5,1989,5,,1.5,24.6,POINT (26.75555556 -31.36638889),hex_19_51,-31.34893218340833,26.658000000000005,1.3799999952316284
ARC,1989-05-01,ARC_1339,-31.34833333,26.83972222,1.06,1.38,1989,5,,1.38,29.255999999999997,POINT (26.83972222 -31.34833333),hex_19_52,-31.43553472378677,26.858,1.2899999618530271
ARC,1989-05-01,ARC_1339,-31.34833333,26.83972222,1.06,1.38,1989,5,,1.38,29.255999999999997,POINT (26.83972222 -31.34833333),hex_20_52,-31.262329643029883,26.858,1.2899999618530271
ARC,1989-05-01,ARC_1340,-31.45805556,26.94027778,0.53,1.44,1989,5,,1.44,15.264,POINT (26.94027778 -31.45805556),hex_19_52,-31.43553472378677,26.858,1.2899999618530271
ARC,1989-05-01,ARC_1341,-31.37027778,27.11944444,1.4,1.48,1989,5,,1.48,41.44,POINT (27.11944444 -31.37027778),hex_19_53,-31.34893218340833,27.058000000000003,1.399999976158142
ARC,1989-05-01,ARC_1342,-31.16611111,27.04027778,0.82,1.47,1989,5,,1.47,24.107999999999997,POINT (27.04027778 -31.16611111),hex_20_53,-31.175727102651447,27.058000000000003,1.3899999856948853
ARC,1989-05-01,ARC_1343,-31.31666667,27.05611111,0.5,1.37,1989,5,,1.37,13.700000000000001,POINT (27.05611111 -31.31666667),hex_19_53,-31.34893218340833,27.058000000000003,1.399999976158142
ARC,1989-05-01,ARC_1344,-31.07722222,27.09388889,1.79,1.38,1989,5,,1.38,49.403999999999996,POINT (27.09388889 -31.07722222),hex_21_53,-31.002522021894546,27.058000000000003,1.399999976158142
ARC,1989-05-01,ARC_1345,-31.09444444,27.30222222,1.45,1.39,1989,5,,1.39,40.309999999999995,POINT (27.30222222 -31.09444444),hex_21_54,-31.08912456227299,27.258000000000003,1.409999966621399
ARC,1989-05-01,ARC_1346,-31.21027778,27.38222222,2.38,1.41,1989,5,,1.41,67.11599999999999,POINT (27.38222222 -31.21027778),hex_20_55,-31.175727102651447,27.458,1.2400000095367432
ARC,1989-05-01,ARC_1347,-31.27305556,27.24944444,1.0,1.38,1989,5,,1.38,27.599999999999998,POINT (27.24944444 -31.27305556),hex_20_54,-31.262329643029883,27.258000000000003,1.3600000143051147
ARC,1989-05-01,ARC_1348,-31.33138889,27.19916667,0.64,1.52,1989,5,,1.52,19.456,POINT (27.19916667 -31.33138889),hex_20_54,-31.262329643029883,27.258000000000003,1.3600000143051147
ARC,1989-05-01,ARC_1349,-31.32722222,27.3625,0.82,1.45,1989,5,,1.45,23.779999999999998,POINT (27.3625 -31.32722222),hex_19_55,-31.34893218340833,27.458,1.2300000190734863
ARC,1989-05-01,ARC_1350,-31.47611111,27.32277778,0.75,1.46,1989,5,,1.46,21.9,POINT (27.32277778 -31.47611111),hex_19_54,-31.43553472378677,27.258000000000003,1.2899999618530271
ARC,1989-05-01,ARC_1351,-31.39861111,27.23888889,1.45,1.3,1989,5,,1.3,37.7,POINT (27.23888889 -31.39861111),hex_19_54,-31.43553472378677,27.258000000000003,1.2899999618530271
ARC,1989-05-01,ARC_1352,-31.44,27.41,1.27,1.43,1989,5,,1.43,36.322,POINT (27.41 -31.44),hex_18_55,-31.52213726416521,27.458,1.4299999475479126
ARC,1989-05-01,ARC_1352,-31.44,27.41,1.27,1.43,1989,5,,1.43,36.322,POINT (27.41 -31.44),hex_19_55,-31.34893218340833,27.458,1.2300000190734863
ARC,1989-05-01,ARC_1353,-31.39305556,27.47361111,0.91,1.47,1989,5,,1.47,26.754,POINT (27.47361111 -31.39305556),hex_19_55,-31.34893218340833,27.458,1.2300000190734863
ARC,1989-05-01,ARC_1354,-31.41833333,27.54777778,0.66,1.46,1989,5,,1.46,19.272,POINT (27.54777778 -31.41833333),hex_19_55,-31.34893218340833,27.458,1.2300000190734863
ARC,1989-05-01,ARC_1355,-31.29305556,27.56,1.22,1.42,1989,5,,1.42,34.647999999999996,POINT (27.56 -31.29305556),hex_20_56,-31.262329643029883,27.658,1.25
ARC,1989-05-01,ARC_1356,-31.3,27.68277778,0.88,1.51,1989,5,,1.51,26.576,POINT (27.68277778 -31.3),hex_20_56,-31.262329643029883,27.658,1.25
